alpha_ratio_avg,digits_pos_0_ratio,digits_pos_18_ratio,digits_pos_21_ratio,digits_pos_41_ratio,digits_pos_48_ratio,digits_pos_61_ratio,digits_pos_77_ratio,digits_pos_9_ratio,digits_ratio_avg,double_finess_ratio,filename,format_inferred,had_token_ratio,line_len_max,line_len_mean,line_len_median,line_len_min,n_lines,psy_token_ratio,size_bytes,spaces_ratio_avg,year_inferred
,,,,,,,,,,,fv_psy_fc_htpart_2020_M12.txt,PSY-other,,,,,,0,,0,,2020
0.0179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821,1.0,fv_psy_fc_ic_2020_M12.TXT,PSY-other,0.0,112,112.0,112,112,90,0.0,10260,0.0,2020
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12___date___non_attendu.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0673,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8619,1.0,fv_psy_raa_2020_M12.txt,PSY-other,0.0,124,95.3,92,92,10000,1.0,1998654,0.0708,2020
0.0208,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9077,1.0,fv_psy_rps_2020_M12.TXT,PSY-other,0.0,200,153.2,152,152,2023,1.0,313958,0.0715,2020
0.0114,0.9958,0.993,1.0,1.0,0.0,0.1469,0.0,0.9958,0.4797,0.984,fv_psy_vh_2020_M12.txt,PSY-other,0.0,452,452.0,452,452,1436,0.0,651944,0.5089,2020
0.1222,0.1239,1.0,1.0,0.0,0.0,0.0,0.0,0.1239,0.2729,0.1239,fv_psy_vip_2020_M12.txt,PSY-other,0.0,124,124.0,124,124,1388,0.0,174888,0.6049,2020
0.1262,0.1239,1.0,1.0,0.0,0.0,0.0,0.0,0.1239,0.282,0.1239,fv_psy_vip_2020_M12_FORMAT_OK.txt,PSY-other,0.0,120,120.0,120,120,1388,0.0,169336,0.5917,2020
0.1122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098,0.0,fv_psy_fs_cov_tests_2021_M12.txt,PSY-other,0.0,41,41.0,41,41,5,0.0,215,0.2634,2021
0.0769,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8846,0.0,fv_psy_fs_cov_vax_2021_M12.txt,PSY-other,0.0,26,26.0,26,26,4,0.0,112,0.0,2021
0.6224,0.0,0.4118,1.0,1.0,1.0,0.0,1.0,0.617,0.2341,0.0,fv_psy_ano_2021_M12.txt,PSY-other,0.0,1283,1078.9,936,936,3888,0.0,4202491,0.1143,2021
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7442,1.0,fv_psy_fc_htpart_2021_M12.txt,PSY-other,0.0,43,43.0,43,43,8241,0.0,370845,0.2558,2021
0.0179,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8839,1.0,fv_psy_fc_ic_2021_M12.txt,PSY-other,0.0,112,112.0,112,112,239,0.0,27246,0.0982,2021
0.0759,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7791,1.0,fv_psy_raa_2021_M12.txt,PSY-other,0.0,149,94.0,93,93,10000,1.0,1948905,0.1451,2021
0.0214,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7883,1.0,fv_psy_rps_2021_M12.txt,PSY-other,0.0,200,154.1,152,152,2267,1.0,353822,0.1903,2021
0.0111,0.9956,0.9906,1.0,0.0,0.0,0.0,0.0,0.9956,0.4509,0.9838,fv_psy_vh_2021_M12.txt,PSY-other,0.0,452,452.0,452,452,1601,0.0,726854,0.538,2021
0.0167,0.5807,1.0,1.0,0.0,0.0,0.0,0.0,0.5807,0.3393,0.5807,fv_psy_vip_2021_M12.txt,PSY-other,0.0,120,120.0,120,120,2287,0.0,279014,0.6441,2021
0.0167,0.5807,1.0,1.0,0.0,0.0,0.0,0.0,0.5807,0.3393,0.5807,fv_psy_vip_2021_M12_FORMAT_ok.txt,PSY-other,0.0,120,120.0,120,120,2287,0.0,279014,0.6441,2021
0.1613,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7419,0.0,fv_psy_fs_cov_tests_2022_M12.txt,PSY-other,0.0,31,31.0,31,31,3,0.0,99,0.0645,2022
